sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;GPS NMEA;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.4335;4.3421;8.9628;-2.2167;3.9399;8.7025;-0.461;0.7519;0.4776;-6.48;-1.03;-2.4;0.4211;722.88;29.82;33.6;276.91;-23.69;14.29;50.398;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,62,354,,71,07,142,,72,55,125,*7C::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";74;2016-12-22 16:59:30:307
2.437;1.3071;12.331;0.067;1.2662;9.7243;-1.6819;-0.7155;1.0575;7.05;10.9;-14.0;1.3474;710.52;32.46;59.16;271.89;-7.42;-0.39;52.284;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,62,354,,71,07,142,,72,55,125,*7C::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";1075;2016-12-22 16:59:31:308
0.1589;-0.3258;7.9297;0.8891;-1.1565;9.6976;1.2482;-2.8085;-2.2777;1.63;22.01;-23.82;1.6842;0.0;0.0;0.0;271.9;-3.07;-11.89;63.18;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,63,354,,71,07,142,,72,55,125,*7D::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";2075;2016-12-22 16:59:32:308
-1.1907;2.1307;10.4744;0.3323;-0.8079;9.7677;5.4225;3.914;10.4038;18.1;-88.18;14.98;0.5895;633.42;43.5;92.82;274.75;4.73;-1.95;59.542;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,63,354,,71,07,142,,72,55,125,*7D::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";3075;2016-12-22 16:59:33:308
-1.3883;0.2145;5.2637;0.3201;-0.8411;9.7653;-0.5832;2.7696;7.8425;-3.69;44.9;29.66;0.0842;592.14;39.78;28.32;274.25;4.92;-1.88;54.72;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,63,354,,71,07,142,,72,55,125,*7D::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";4074;2016-12-22 16:59:34:307
1.6205;-1.1994;8.3701;0.7334;-1.2285;9.7017;-2.2952;2.7817;0.7133;8.67;-6.54;-11.98;0.0842;796.62;56.04;183.18;276.28;7.2;-4.32;50.752;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,63,354,,71,07,142,,72,55,125,*7D::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";5075;2016-12-22 16:59:35:308
0.2518;-0.5472;9.8293;0.7502;-0.9111;9.7354;-0.5622;0.4821;0.4448;-0.26;-0.48;0.07;0.0842;890.94;66.24;231.54;276.4;5.9;-4.91;44.239;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,63,354,,71,07,142,,72,55,125,*7D::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";6075;2016-12-22 16:59:36:308
-0.7194;-0.2449;10.0721;0.2946;-0.919;9.7591;0.5243;0.1618;-0.8395;-4.7;12.37;-0.69;0.0842;833.46;61.32;195.3;275.42;4.24;-2.67;49.008;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,63,354,,71,07,142,,72,55,125,*7D::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";7074;2016-12-22 16:59:37:307
0.0542;-0.3853;9.6222;0.1597;-0.5365;9.7907;-0.061;0.1355;0.0588;0.04;-0.02;0.04;0.0842;679.14;52.14;94.32;274.93;3.48;-1.16;48.75;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,63,354,,71,07,142,,72,55,125,*7D::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";8077;2016-12-22 16:59:38:310
0.028;-0.4496;9.6603;0.0814;-0.4241;9.7971;-0.0485;0.0683;-0.0094;0.13;0.32;0.01;0.0842;676.92;51.78;95.58;274.8;2.68;-0.53;47.543;20.972475;105.75845;;31.198939023800342;;76.4;;0 / 20;"$GPGSV,5,5,20,75,54,352,,65,63,354,,71,07,142,,72,55,125,*7D::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";9075;2016-12-22 16:59:39:308
